年,GNP(兆米ドル),GNP(米ドル)
1967,0.134,133922438816
1968,0.159,158527592858
1969,0.186,186259796817
1970,0.22,219637885956
1971,0.248,248285182762
1972,0.329,329271765605
1973,0.447,447407384621
1974,0.496,495629315286
1975,0.539,539364284732
1976,0.606,606267006517
1977,0.746,746486589620
1978,1.05,1049724780341
1979,1.094,1093593575062
1980,1.144,1144004380575
1981,1.263,1262550628034
1982,1.176,1176126780614
1983,1.284,1283888538586
1984,1.365,1365496990563
1985,1.463,1462883630361
1986,2.167,2166529105891
1987,2.631,2630759782456
1988,3.193,3192627860114
1989,3.197,3197023303374
1990,3.288,3287597955302
1991,3.747,3747414797245
1992,4.089,4089343929648
1993,4.687,4687461189295
1994,5.146,5145625871998
1995,5.687,5686768814666
1996,5.081,5080805044351
1997,4.639,4638743905533
1998,4.201,4200972764281
1999,4.746,4745904546524
2000,5.114,5114258273752
2001,4.507,4506806200007
2002,4.307,4306993492200
2003,4.646,4646434378329
2004,5.036,5035958888283
2005,4.983,4982850382242
2006,4.771,4771111262063
2007,4.765,4765108468113
2008,5.297,5297466609262
2009,5.47,5469764379861
2010,5.965,5965040392231
2011,6.461,6460737427412
2012,6.507,6507042694349
2013,5.452,5451622637622
2014,5.168,5167823225046
2015,4.709,4709298924741
2016,5.284,5284490989325
2017,5.221,5220677954612
2018,5.347,5347130951340
2019,5.446,5446274833462
2020,5.375,5374617140524
2021,5.466,5466430651769
2022,4.711,4711073463924
2023,4.637,4637104412386
2024,4.445,4445039871224
2025,4.715,4715125918958
