年,名目GNP(兆円),実質GNP(兆円、2015年価格)
1967,48.2,
1968,57.1,
1969,67.1,
1970,79.1,
1971,87.1,
1972,99.8,
1973,121.6,
1974,144.8,
1975,160.1,
1976,179.8,
1977,200.4,
1978,220.9,
1979,239.7,
1980,259.4,
1981,278.4,
1982,292.9,
1983,304.9,
1984,324.3,
1985,349.0,
1986,365.1,
1987,380.5,
1988,409.1,
1989,441.1,
1990,476.0,
1991,504.8,
1992,517.9,
1993,521.2,
1994,525.9,491.1
1995,534.9,502.5
1996,552.7,517.8
1997,561.2,523.6
1998,549.9,515.8
1999,540.6,513.2
2000,551.1,526.7
2001,547.7,528.9
2002,540.0,528.5
2003,538.7,534.8
2004,544.9,545.4
2005,549.2,552.9
2006,554.9,558.7
2007,561.1,567.5
2008,547.5,549.9
2009,511.8,524.5
2010,523.6,542.8
2011,515.6,536.7
2012,519.2,543.7
2013,532.1,555.9
2014,547.5,561.3
2015,570.0,581.1
2016,574.9,587.8
2017,585.6,595.0
2018,590.4,596.2
2019,593.7,595.8
2020,573.9,573.9
2021,600.0,592.7
2022,619.5,593.0
2023,651.5,604.2
2024,672.8,608.2
2025,705.7,
