年,為替レート(円/ドル),交易条件指数(2015=100),消費者物価上昇率(%),実質賃金指数(2020=100)
1967,360.0,,3.99,
1968,360.0,,5.34,
1969,360.0,,5.25,
1970,360.0,,6.92,62.8
1971,350.7,,6.4,68.0
1972,303.2,,4.84,75.7
1973,271.7,,11.61,81.9
1974,292.1,,23.22,84.0
1975,296.8,,11.73,86.2
1976,296.6,,9.37,88.9
1977,268.5,,8.16,89.3
1978,210.4,,4.21,91.5
1979,219.1,,3.7,93.6
1980,226.7,,7.78,91.9
1981,220.5,,4.91,92.4
1982,249.1,,2.74,93.8
1983,237.5,,1.9,94.6
1984,237.5,,2.26,95.9
1985,238.5,,2.03,96.6
1986,168.5,,0.6,98.7
1987,144.6,,0.13,100.8
1988,128.2,,0.68,103.9
1989,138.0,,2.27,106.0
1990,144.8,,3.08,107.6
1991,134.7,,3.25,107.6
1992,126.7,,1.76,107.9
1993,111.2,,1.24,107.2
1994,102.2,,0.7,108.7
1995,94.1,,-0.13,110.9
1996,108.8,,0.14,112.8
1997,121.0,,1.75,113.0
1998,130.9,,0.66,110.9
1999,113.9,,-0.34,109.7
2000,107.8,,-0.68,110.4
2001,121.5,,-0.74,110.4
2002,125.4,,-0.92,108.4
2003,115.9,,-0.26,108.6
2004,108.2,,-0.01,108.1
2005,110.2,125.1,-0.28,109.7
2006,116.3,113.1,0.25,110.4
2007,117.8,107.6,0.06,109.3
2008,103.4,93.0,1.38,107.1
2009,93.6,111.6,-1.35,103.5
2010,87.8,101.7,-0.73,105.5
2011,79.8,92.5,-0.27,106.0
2012,79.8,90.7,-0.04,104.9
2013,97.6,88.6,0.34,104.5
2014,105.9,87.6,2.76,102.2
2015,121.0,100.0,0.8,101.2
2016,108.8,108.5,-0.13,102.5
2017,112.2,103.0,0.48,102.4
2018,110.4,97.1,0.99,102.4
2019,109.0,98.7,0.47,101.7
2020,106.8,106.5,-0.02,100.0
2021,109.8,94.8,-0.23,101.2
2022,131.5,79.3,2.5,101.3
2023,140.5,86.5,3.27,99.3
2024,151.4,89.6,2.74,99.0
2025,149.7,,3.17,98.0
